Airline,Date,EBITDA,Status,Country,Region,IATA
WestJet Airlines,2003'Q1,25.0,public,CA,North America,WS
IAG,2003'Q1,13.0,public,EU,Europe,IAG
Air France-KLM,2003'Q1,10.0,public,EU,Europe,AF/KL
Ryanair,2003'Q1,39.0,public,EU,Europe,FR
easyJet,2003'Q1,10.0,public,EU,Europe,U2
Deutsche Lufthansa,2003'Q1,12.0,public,EU,Europe,LH
Norwegian Air Shuttle,2003'Q1,-14.0,public,EU,Europe,DY
Finnair,2003'Q1,8.0,public,EU,Europe,AY
Singapore Airlines,2003'Q1,18.0,public,SG,Asia Pacific,SQ
Qantas Airways,2003'Q1,12.0,public,AU,Asia Pacific,QF
Japan Airlines,2003'Q1,5.0,public,JP,Asia Pacific,JL
ANA Holdings,2003'Q1,6.0,public,JP,Asia Pacific,NH
Korean Air,2003'Q1,8.0,public,KR,Asia Pacific,KE
Asiana Airlines,2003'Q1,1.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2003'Q1,27.0,public,HK,Asia Pacific,CX
Gol Linhas Aereas,2003'Q1,12.0,public,BR,Latin America,G3
LATAM Airlines,2003'Q1,9.0,public,CL,Latin America,LA
Air China,2003'Q1,24.0,public,CN,China,CA
China Eastern,2003'Q1,19.0,public,CN,China,MU
China Southern,2003'Q1,20.0,public,CN,China,CZ
Hainan Airlines,2003'Q1,23.0,public,CN,China,HU
SpiceJet,2003'Q1,-50.0,public,IN,India,SG
Kenya Airlines,2003'Q1,8.0,public,KE,Africa,KQ
Comair,2003'Q1,2.0,public,ZA,Africa,MN
Emirates,2003'Q1,15.0,private,AE,Middle East,EK
Aeroflot,2003'Q1,18.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2003'Q2,1.0,public,US,North America,AA
Delta Air Lines,2003'Q2,2.0,public,US,North America,DL
Southwest Airlines,2003'Q2,14.0,public,US,North America,WN
United Airlines,2003'Q2,-7.0,public,US,North America,UA
Alaska Air,2003'Q2,6.0,public,US,North America,AS
JetBlue,2003'Q2,21.0,public,US,North America,B6
Allegiant,2003'Q2,8.0,public,US,North America,G4
Hawaiian,2003'Q2,-7.0,public,US,North America,HA
SkyWest,2003'Q2,22.0,public,US,North America,OO
Northwest Airlines,2003'Q2,2.0,merged with Delta 2008,US,North America,NW
Air Canada,2003'Q2,-1.0,public,CA,North America,AC
WestJet Airlines,2003'Q2,25.0,public,CA,North America,WS
