Airline,Date,Value,Status,Country,Region,IATA
Air France-KLM,2004'Q1,17520.0,public,EU,Europe,AF/KL
Ryanair,2004'Q1,1412.0,public,EU,Europe,FR
easyJet,2004'Q1,1660.0,public,EU,Europe,U2
Finnair,2004'Q1,2093.0,public,EU,Europe,AY
Singapore Airlines,2004'Q1,6181.0,public,SG,Asia Pacific,SQ
Qantas Airways,2004'Q1,7649.0,public,AU,Asia Pacific,QF
Cathay Pacific,2004'Q1,4135.0,public,HK,Asia Pacific,CX
LATAM Airlines,2004'Q1,1779.0,public,CL,Latin America,LA
Air China,2004'Q1,3273.0,public,CN,China,CA
China Eastern,2004'Q1,1941.0,public,CN,China,MU
China Southern,2004'Q1,2311.0,public,CN,China,CZ
Hainan Airlines,2004'Q1,734.0,public,CN,China,HU
Aeroflot,2004'Q1,1859.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2004'Q2,18043.0,public,US,North America,AA
Delta Air Lines,2004'Q2,14772.0,public,US,North America,DL
Southwest Airlines,2004'Q2,6234.0,public,US,North America,WN
United Airlines,2004'Q2,15660.0,public,US,North America,UA
Alaska Air,2004'Q2,2584.0,public,US,North America,AS
JetBlue,2004'Q2,1131.0,public,US,North America,B6
SkyWest,2004'Q2,1022.0,public,US,North America,OO
Northwest Airlines,2004'Q2,10678.0,merged with Delta 2008,US,North America,NW
Air Canada,2004'Q2,6887.0,public,CA,North America,AC
Air France-KLM,2004'Q2,19905.0,public,EU,Europe,AF/KL
Ryanair,2004'Q2,1512.0,public,EU,Europe,FR
easyJet,2004'Q2,1761.0,public,EU,Europe,U2
Finnair,2004'Q2,2167.0,public,EU,Europe,AY
Singapore Airlines,2004'Q2,6548.0,public,SG,Asia Pacific,SQ
Qantas Airways,2004'Q2,7706.0,public,AU,Asia Pacific,QF
Cathay Pacific,2004'Q2,4432.0,public,HK,Asia Pacific,CX
LATAM Airlines,2004'Q2,1900.0,public,CL,Latin America,LA
Air China,2004'Q2,3550.0,public,CN,China,CA
China Eastern,2004'Q2,2157.0,public,CN,China,MU
China Southern,2004'Q2,2508.0,public,CN,China,CZ
Hainan Airlines,2004'Q2,821.0,public,CN,China,HU
Aeroflot,2004'Q2,1964.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2004'Q3,18344.0,public,US,North America,AA
Delta Air Lines,2004'Q3,15003.0,public,US,North America,DL
Southwest Airlines,2004'Q3,6382.0,public,US,North America,WN
United Airlines,2004'Q3,16025.0,public,US,North America,UA
Alaska Air,2004'Q3,2654.0,public,US,North America,AS
JetBlue,2004'Q3,1198.0,public,US,North America,B6
SkyWest,2004'Q3,1089.0,public,US,North America,OO
Northwest Airlines,2004'Q3,10979.0,merged with Delta 2008,US,North America,NW
Air Canada,2004'Q3,7092.0,public,CA,North America,AC
Air France-KLM,2004'Q3,22290.0,public,EU,Europe,AF/KL
Ryanair,2004'Q3,1611.0,public,EU,Europe,FR
easyJet,2004'Q3,1862.0,public,EU,Europe,U2
Finnair,2004'Q3,2242.0,public,EU,Europe,AY
Singapore Airlines,2004'Q3,6915.0,public,SG,Asia Pacific,SQ
Qantas Airways,2004'Q3,7764.0,public,AU,Asia Pacific,QF
Cathay Pacific,2004'Q3,4729.0,public,HK,Asia Pacific,CX
LATAM Airlines,2004'Q3,2021.0,public,CL,Latin America,LA
Air China,2004'Q3,3827.0,public,CN,China,CA
China Eastern,2004'Q3,2373.0,public,CN,China,MU
China Southern,2004'Q3,2705.0,public,CN,China,CZ
Hainan Airlines,2004'Q3,908.0,public,CN,China,HU
Aeroflot,2004'Q3,2068.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2004'Q4,18645.0,public,US,North America,AA
Delta Air Lines,2004'Q4,15235.0,public,US,North America,DL
Southwest Airlines,2004'Q4,6530.0,public,US,North America,WN
United Airlines,2004'Q4,16391.0,public,US,North America,UA
Alaska Air,2004'Q4,2724.0,public,US,North America,AS
JetBlue,2004'Q4,1265.0,public,US,North America,B6
SkyWest,2004'Q4,1156.0,public,US,North America,OO
