Airline,Date,Revenue,Status,Country,Region,IATA
United Airlines,2004'Q3,6.0,public,US,North America,UA
Alaska Air,2004'Q3,11.0,public,US,North America,AS
JetBlue,2004'Q3,34.0,public,US,North America,B6
SkyWest,2004'Q3,26.0,public,US,North America,OO
Northwest Airlines,2004'Q3,9.0,merged with Delta 2008,US,North America,NW
Air Canada,2004'Q3,10.0,public,CA,North America,AC
Air France-KLM,2004'Q3,50.0,public,EU,Europe,AF/KL
Ryanair,2004'Q3,33.0,public,EU,Europe,FR
easyJet,2004'Q3,26.0,public,EU,Europe,U2
Finnair,2004'Q3,15.0,public,EU,Europe,AY
Singapore Airlines,2004'Q3,18.0,public,SG,Asia Pacific,SQ
Qantas Airways,2004'Q3,7.0,public,AU,Asia Pacific,QF
Cathay Pacific,2004'Q3,21.0,public,HK,Asia Pacific,CX
LATAM Airlines,2004'Q3,25.0,public,CL,Latin America,LA
Air China,2004'Q3,37.0,public,CN,China,CA
China Eastern,2004'Q3,39.0,public,CN,China,MU
China Southern,2004'Q3,27.0,public,CN,China,CZ
Hainan Airlines,2004'Q3,43.0,public,CN,China,HU
Aeroflot,2004'Q3,21.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2004'Q4,7.0,public,US,North America,AA
Delta Air Lines,2004'Q4,6.0,public,US,North America,DL
Southwest Airlines,2004'Q4,10.0,public,US,North America,WN
United Airlines,2004'Q4,10.0,public,US,North America,UA
Alaska Air,2004'Q4,11.0,public,US,North America,AS
JetBlue,2004'Q4,27.0,public,US,North America,B6
SkyWest,2004'Q4,30.0,public,US,North America,OO
Northwest Airlines,2004'Q4,12.0,merged with Delta 2008,US,North America,NW
Air Canada,2004'Q4,13.0,public,CA,North America,AC
Air France-KLM,2004'Q4,63.0,public,EU,Europe,AF/KL
Ryanair,2004'Q4,30.0,public,EU,Europe,FR
easyJet,2004'Q4,26.0,public,EU,Europe,U2
Finnair,2004'Q4,15.0,public,EU,Europe,AY
Singapore Airlines,2004'Q4,25.0,public,SG,Asia Pacific,SQ
Qantas Airways,2004'Q4,3.0,public,AU,Asia Pacific,QF
Cathay Pacific,2004'Q4,31.0,public,HK,Asia Pacific,CX
LATAM Airlines,2004'Q4,29.0,public,CL,Latin America,LA
Air China,2004'Q4,37.0,public,CN,China,CA
China Eastern,2004'Q4,50.0,public,CN,China,MU
China Southern,2004'Q4,37.0,public,CN,China,CZ
Hainan Airlines,2004'Q4,54.0,public,CN,China,HU
Aeroflot,2004'Q4,24.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2005'Q1,8.0,public,US,North America,AA
Delta Air Lines,2005'Q1,7.0,public,US,North America,DL
Southwest Airlines,2005'Q1,12.0,public,US,North America,WN
United Airlines,2005'Q1,9.0,public,US,North America,UA
Alaska Air,2005'Q1,11.0,public,US,North America,AS
JetBlue,2005'Q1,29.0,public,US,North America,B6
SkyWest,2005'Q1,40.0,public,US,North America,OO
Northwest Airlines,2005'Q1,11.0,merged with Delta 2008,US,North America,NW
Air Canada,2005'Q1,12.0,public,CA,North America,AC
Air France-KLM,2005'Q1,49.0,public,EU,Europe,AF/KL
Ryanair,2005'Q1,28.0,public,EU,Europe,FR
easyJet,2005'Q1,25.0,public,EU,Europe,U2
Finnair,2005'Q1,10.0,public,EU,Europe,AY
Singapore Airlines,2005'Q1,22.0,public,SG,Asia Pacific,SQ
Qantas Airways,2005'Q1,8.0,public,AU,Asia Pacific,QF
Cathay Pacific,2005'Q1,31.0,public,HK,Asia Pacific,CX
LATAM Airlines,2005'Q1,27.0,public,CL,Latin America,LA
Air China,2005'Q1,32.0,public,CN,China,CA
China Eastern,2005'Q1,46.0,public,CN,China,MU
China Southern,2005'Q1,44.0,public,CN,China,CZ
Hainan Airlines,2005'Q1,46.0,public,CN,China,HU
Aeroflot,2005'Q1,23.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2005'Q2,9.0,public,US,North America,AA
Delta Air Lines,2005'Q2,7.0,public,US,North America,DL
Southwest Airlines,2005'Q2,13.0,public,US,North America,WN
United Airlines,2005'Q2,8.0,public,US,North America,UA
Alaska Air,2005'Q2,10.0,public,US,North America,AS
JetBlue,2005'Q2,31.0,public,US,North America,B6
SkyWest,2005'Q2,50.0,public,US,North America,OO
Northwest Airlines,2005'Q2,10.0,merged with Delta 2008,US,North America,NW
