Airline,Date,Revenue,Status,Country,Region,IATA
Aeroflot,2021'Q1,-30.0,"taken private 2023, war",RU,Russia,SU
Turkish Airlines,2021'Q1,-30.0,public,TR,Turkey,TK
American Airlines,2021'Q2,5.0,public,US,North America,AA
Delta Air Lines,2021'Q2,6.0,public,US,North America,DL
Southwest Airlines,2021'Q2,7.0,public,US,North America,WN
United Airlines,2021'Q2,-2.0,public,US,North America,UA
Alaska Air,2021'Q2,7.0,public,US,North America,AS
JetBlue,2021'Q2,20.0,public,US,North America,B6
Air Canada,2021'Q2,-30.0,public,CA,North America,AC
IAG,2021'Q2,-30.0,public,EU,Europe,
Air France-KLM,2021'Q2,19.0,public,EU,Europe,AF/KL
Ryanair,2021'Q2,49.0,public,EU,Europe,FR
easyJet,2021'Q2,-30.0,public,EU,Europe,U2
Deutsche Lufthansa,2021'Q2,-30.0,public,EU,Europe,LH
Finnair,2021'Q2,-30.0,public,EU,Europe,AY
Singapore Airlines,2021'Q2,12.0,public,SG,Asia Pacific,SQ
Qantas Airways,2021'Q2,-30.0,public,AU,Asia Pacific,QF
Cathay Pacific,2021'Q2,-30.0,public,HK,Asia Pacific,CX
LATAM Airlines,2021'Q2,-20.0,public,CL,Latin America,LA
Air China,2021'Q2,-17.0,public,CN,China,CA
China Eastern,2021'Q2,-15.0,public,CN,China,MU
China Southern,2021'Q2,-11.0,public,CN,China,CZ
Hainan Airlines,2021'Q2,-20.0,public,CN,China,HU
Qatar Airways,2021'Q2,24.0,private,QA,Middle East,QR
Aeroflot,2021'Q2,-2.0,"taken private 2023, war",RU,Russia,SU
Turkish Airlines,2021'Q2,-30.0,public,TR,Turkey,TK
American Airlines,2021'Q3,39.0,public,US,North America,AA
Delta Air Lines,2021'Q3,40.0,public,US,North America,DL
Southwest Airlines,2021'Q3,41.0,public,US,North America,WN
United Airlines,2021'Q3,29.0,public,US,North America,UA
Alaska Air,2021'Q3,40.0,public,US,North America,AS
JetBlue,2021'Q3,62.0,public,US,North America,B6
SkyWest,2021'Q3,14.0,public,US,North America,OO
Air Canada,2021'Q3,-11.0,public,CA,North America,AC
IAG,2021'Q3,-17.0,public,EU,Europe,
Air France-KLM,2021'Q3,19.0,public,EU,Europe,AF/KL
Ryanair,2021'Q3,100.0,public,EU,Europe,FR
easyJet,2021'Q3,-30.0,public,EU,Europe,U2
Deutsche Lufthansa,2021'Q3,-20.0,public,EU,Europe,LH
Finnair,2021'Q3,-21.0,public,EU,Europe,AY
Singapore Airlines,2021'Q3,55.0,public,SG,Asia Pacific,SQ
Qantas Airways,2021'Q3,-30.0,public,AU,Asia Pacific,QF
Cathay Pacific,2021'Q3,-17.0,public,HK,Asia Pacific,CX
Air China,2021'Q3,-4.0,public,CN,China,CA
Hainan Airlines,2021'Q3,-1.0,public,CN,China,HU
Qatar Airways,2021'Q3,57.0,private,QA,Middle East,QR
Aeroflot,2021'Q3,28.0,"taken private 2023, war",RU,Russia,SU
Turkish Airlines,2021'Q3,-30.0,public,TR,Turkey,TK
American Airlines,2021'Q4,72.0,public,US,North America,AA
Delta Air Lines,2021'Q4,75.0,public,US,North America,DL
Southwest Airlines,2021'Q4,75.0,public,US,North America,WN
United Airlines,2021'Q4,60.0,public,US,North America,UA
Alaska Air,2021'Q4,73.0,public,US,North America,AS
JetBlue,2021'Q4,100.0,public,US,North America,B6
SkyWest,2021'Q4,28.0,public,US,North America,OO
Air Canada,2021'Q4,8.0,public,CA,North America,AC
Air France-KLM,2021'Q4,19.0,public,EU,Europe,AF/KL
Ryanair,2021'Q4,100.0,public,EU,Europe,FR
easyJet,2021'Q4,-30.0,public,EU,Europe,U2
Deutsche Lufthansa,2021'Q4,-3.0,public,EU,Europe,LH
Finnair,2021'Q4,-5.0,public,EU,Europe,AY
Singapore Airlines,2021'Q4,99.0,public,SG,Asia Pacific,SQ
Qantas Airways,2021'Q4,-30.0,public,AU,Asia Pacific,QF
Cathay Pacific,2021'Q4,-3.0,public,HK,Asia Pacific,CX
LATAM Airlines,2021'Q4,19.0,public,CL,Latin America,LA
Air China,2021'Q4,9.0,public,CN,China,CA
China Eastern,2021'Q4,16.0,public,CN,China,MU
China Southern,2021'Q4,12.0,public,CN,China,CZ
Hainan Airlines,2021'Q4,17.0,public,CN,China,HU
Qatar Airways,2021'Q4,90.0,private,QA,Middle East,QR
Aeroflot,2021'Q4,58.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2022'Q1,70.0,public,US,North America,AA
Delta Air Lines,2022'Q1,73.0,public,US,North America,DL
Southwest Airlines,2022'Q1,69.0,public,US,North America,WN
United Airlines,2022'Q1,66.0,public,US,North America,UA
Alaska Air,2022'Q1,69.0,public,US,North America,AS
JetBlue,2022'Q1,91.0,public,US,North America,B6
SkyWest,2022'Q1,23.0,public,US,North America,OO
Air Canada,2022'Q1,42.0,public,CA,North America,AC
IAG,2022'Q1,39.0,public,EU,Europe,
Air France-KLM,2022'Q1,33.0,public,EU,Europe,AF/KL
Ryanair,2022'Q1,100.0,public,EU,Europe,FR
easyJet,2022'Q1,17.0,public,EU,Europe,U2
Deutsche Lufthansa,2022'Q1,34.0,public,EU,Europe,LH
Finnair,2022'Q1,37.0,public,EU,Europe,AY
Singapore Airlines,2022'Q1,100.0,public,SG,Asia Pacific,SQ
Qantas Airways,2022'Q1,-30.0,public,AU,Asia Pacific,QF
LATAM Airlines,2022'Q1,48.0,public,CL,Latin America,LA
Air China,2022'Q1,-2.0,public,CN,China,CA
China Eastern,2022'Q1,2.0,public,CN,China,MU
China Southern,2022'Q1,4.0,public,CN,China,CZ
Hainan Airlines,2022'Q1,3.0,public,CN,China,HU
Qatar Airways,2022'Q1,75.0,private,QA,Middle East,QR
Aeroflot,2022'Q1,46.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2022'Q2,68.0,public,US,North America,AA
Delta Air Lines,2022'Q2,72.0,public,US,North America,DL
Southwest Airlines,2022'Q2,63.0,public,US,North America,WN
United Airlines,2022'Q2,71.0,public,US,North America,UA
Alaska Air,2022'Q2,65.0,public,US,North America,AS
JetBlue,2022'Q2,78.0,public,US,North America,B6
SkyWest,2022'Q2,19.0,public,US,North America,OO
Air Canada,2022'Q2,76.0,public,CA,North America,AC
IAG,2022'Q2,78.0,public,EU,Europe,
Air France-KLM,2022'Q2,47.0,public,EU,Europe,AF/KL
Ryanair,2022'Q2,100.0,public,EU,Europe,FR
easyJet,2022'Q2,81.0,public,EU,Europe,U2
Deutsche Lufthansa,2022'Q2,71.0,public,EU,Europe,LH
Finnair,2022'Q2,79.0,public,EU,Europe,AY
Singapore Airlines,2022'Q2,100.0,public,SG,Asia Pacific,SQ
Qantas Airways,2022'Q2,-5.0,public,AU,Asia Pacific,QF
Cathay Pacific,2022'Q2,4.0,public,HK,Asia Pacific,CX
LATAM Airlines,2022'Q2,77.0,public,CL,Latin America,LA
Air China,2022'Q2,-13.0,public,CN,China,CA
China Eastern,2022'Q2,-11.0,public,CN,China,MU
China Southern,2022'Q2,-4.0,public,CN,China,CZ
Hainan Airlines,2022'Q2,-11.0,public,CN,China,HU
Qatar Airways,2022'Q2,61.0,private,QA,Middle East,QR
Aeroflot,2022'Q2,35.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2022'Q3,66.0,public,US,North America,AA
Delta Air Lines,2022'Q3,71.0,public,US,North America,DL
Southwest Airlines,2022'Q3,57.0,public,US,North America,WN
United Airlines,2022'Q3,77.0,public,US,North America,UA
Alaska Air,2022'Q3,60.0,public,US,North America,AS
JetBlue,2022'Q3,65.0,public,US,North America,B6
SkyWest,2022'Q3,15.0,public,US,North America,OO
Air Canada,2022'Q3,100.0,public,CA,North America,AC
IAG,2022'Q3,100.0,public,EU,Europe,
Air France-KLM,2022'Q3,60.0,public,EU,Europe,AF/KL
Ryanair,2022'Q3,100.0,public,EU,Europe,FR
easyJet,2022'Q3,100.0,public,EU,Europe,U2
Deutsche Lufthansa,2022'Q3,100.0,public,EU,Europe,LH
Finnair,2022'Q3,100.0,public,EU,Europe,AY
Singapore Airlines,2022'Q3,100.0,public,SG,Asia Pacific,SQ
Qantas Airways,2022'Q3,19.0,public,AU,Asia Pacific,QF
Cathay Pacific,2022'Q3,8.0,public,HK,Asia Pacific,CX
LATAM Airlines,2022'Q3,100.0,public,CL,Latin America,LA
Air China,2022'Q3,-24.0,public,CN,China,CA
China Eastern,2022'Q3,-24.0,public,CN,China,MU
China Southern,2022'Q3,-12.0,public,CN,China,CZ
Hainan Airlines,2022'Q3,-25.0,public,CN,China,HU
Qatar Airways,2022'Q3,46.0,private,QA,Middle East,QR
Aeroflot,2022'Q3,23.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2022'Q4,64.0,public,US,North America,AA
Delta Air Lines,2022'Q4,69.0,public,US,North America,DL
Southwest Airlines,2022'Q4,51.0,public,US,North America,WN
United Airlines,2022'Q4,82.0,public,US,North America,UA
Alaska Air,2022'Q4,56.0,public,US,North America,AS
JetBlue,2022'Q4,52.0,public,US,North America,B6
SkyWest,2022'Q4,11.0,public,US,North America,OO
Air Canada,2022'Q4,100.0,public,CA,North America,AC
IAG,2022'Q4,100.0,public,EU,Europe,
Air France-KLM,2022'Q4,74.0,public,EU,Europe,AF/KL
Ryanair,2022'Q4,100.0,public,EU,Europe,FR
easyJet,2022'Q4,100.0,public,EU,Europe,U2
Deutsche Lufthansa,2022'Q4,100.0,public,EU,Europe,LH
Finnair,2022'Q4,100.0,public,EU,Europe,AY
Singapore Airlines,2022'Q4,100.0,public,SG,Asia Pacific,SQ
Qantas Airways,2022'Q4,44.0,public,AU,Asia Pacific,QF
Cathay Pacific,2022'Q4,12.0,public,HK,Asia Pacific,CX
LATAM Airlines,2022'Q4,100.0,public,CL,Latin America,LA
Air China,2022'Q4,-30.0,public,CN,China,CA
China Eastern,2022'Q4,-30.0,public,CN,China,MU
China Southern,2022'Q4,-21.0,public,CN,China,CZ
Hainan Airlines,2022'Q4,-30.0,public,CN,China,HU
Qatar Airways,2022'Q4,31.0,private,QA,Middle East,QR
Aeroflot,2022'Q4,11.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2023'Q1,50.0,public,US,North America,AA
Delta Air Lines,2023'Q1,56.0,public,US,North America,DL
Southwest Airlines,2023'Q1,41.0,public,US,North America,WN
United Airlines,2023'Q1,67.0,public,US,North America,UA
Alaska Air,2023'Q1,44.0,public,US,North America,AS
JetBlue,2023'Q1,40.0,public,US,North America,B6
SkyWest,2023'Q1,7.0,public,US,North America,OO
Air Canada,2023'Q1,100.0,public,CA,North America,AC
IAG,2023'Q1,100.0,public,EU,Europe,
Air France-KLM,2023'Q1,60.0,public,EU,Europe,AF/KL
Ryanair,2023'Q1,96.0,public,EU,Europe,FR
easyJet,2023'Q1,100.0,public,EU,Europe,U2
Deutsche Lufthansa,2023'Q1,100.0,public,EU,Europe,LH
Finnair,2023'Q1,100.0,public,EU,Europe,AY
Singapore Airlines,2023'Q1,100.0,public,SG,Asia Pacific,SQ
Qantas Airways,2023'Q1,59.0,public,AU,Asia Pacific,QF
Cathay Pacific,2023'Q1,30.0,public,HK,Asia Pacific,CX
LATAM Airlines,2023'Q1,100.0,public,CL,Latin America,LA
Air China,2023'Q1,13.0,public,CN,China,CA
China Eastern,2023'Q1,5.0,public,CN,China,MU
China Southern,2023'Q1,3.0,public,CN,China,CZ
Hainan Airlines,2023'Q1,9.0,public,CN,China,HU
Qatar Airways,2023'Q1,26.0,private,QA,Middle East,QR
Aeroflot,2023'Q1,12.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2023'Q2,36.0,public,US,North America,AA
Delta Air Lines,2023'Q2,42.0,public,US,North America,DL
Southwest Airlines,2023'Q2,30.0,public,US,North America,WN
United Airlines,2023'Q2,51.0,public,US,North America,UA
Alaska Air,2023'Q2,32.0,public,US,North America,AS
JetBlue,2023'Q2,28.0,public,US,North America,B6
SkyWest,2023'Q2,4.0,public,US,North America,OO
Air Canada,2023'Q2,90.0,public,CA,North America,AC
IAG,2023'Q2,95.0,public,EU,Europe,
Air France-KLM,2023'Q2,46.0,public,EU,Europe,AF/KL
Ryanair,2023'Q2,72.0,public,EU,Europe,FR
easyJet,2023'Q2,100.0,public,EU,Europe,U2
Deutsche Lufthansa,2023'Q2,100.0,public,EU,Europe,LH
Finnair,2023'Q2,95.0,public,EU,Europe,AY
Singapore Airlines,2023'Q2,72.0,public,SG,Asia Pacific,SQ
Qantas Airways,2023'Q2,74.0,public,AU,Asia Pacific,QF
Cathay Pacific,2023'Q2,48.0,public,HK,Asia Pacific,CX
LATAM Airlines,2023'Q2,66.0,public,CL,Latin America,LA
Air China,2023'Q2,61.0,public,CN,China,CA
China Eastern,2023'Q2,48.0,public,CN,China,MU
China Southern,2023'Q2,27.0,public,CN,China,CZ
Hainan Airlines,2023'Q2,56.0,public,CN,China,HU
Qatar Airways,2023'Q2,21.0,private,QA,Middle East,QR
Aeroflot,2023'Q2,12.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2023'Q3,22.0,public,US,North America,AA
Delta Air Lines,2023'Q3,28.0,public,US,North America,DL
Southwest Airlines,2023'Q3,20.0,public,US,North America,WN
United Airlines,2023'Q3,35.0,public,US,North America,UA
Alaska Air,2023'Q3,20.0,public,US,North America,AS
JetBlue,2023'Q3,17.0,public,US,North America,B6
SkyWest,2023'Q3,1.0,public,US,North America,OO
Air Canada,2023'Q3,63.0,public,CA,North America,AC
IAG,2023'Q3,63.0,public,EU,Europe,
Air France-KLM,2023'Q3,32.0,public,EU,Europe,AF/KL
Ryanair,2023'Q3,48.0,public,EU,Europe,FR
easyJet,2023'Q3,95.0,public,EU,Europe,U2
Deutsche Lufthansa,2023'Q3,100.0,public,EU,Europe,LH
Finnair,2023'Q3,62.0,public,EU,Europe,AY
Singapore Airlines,2023'Q3,39.0,public,SG,Asia Pacific,SQ
Qantas Airways,2023'Q3,90.0,public,AU,Asia Pacific,QF
Cathay Pacific,2023'Q3,67.0,public,HK,Asia Pacific,CX
LATAM Airlines,2023'Q3,32.0,public,CL,Latin America,LA
Air China,2023'Q3,100.0,public,CN,China,CA
China Eastern,2023'Q3,91.0,public,CN,China,MU
China Southern,2023'Q3,50.0,public,CN,China,CZ
Hainan Airlines,2023'Q3,100.0,public,CN,China,HU
Qatar Airways,2023'Q3,15.0,private,QA,Middle East,QR
Aeroflot,2023'Q3,12.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2023'Q4,8.0,public,US,North America,AA
Delta Air Lines,2023'Q4,15.0,public,US,North America,DL
Southwest Airlines,2023'Q4,10.0,public,US,North America,WN
United Airlines,2023'Q4,19.0,public,US,North America,UA
Alaska Air,2023'Q4,8.0,public,US,North America,AS
JetBlue,2023'Q4,5.0,public,US,North America,B6
SkyWest,2023'Q4,-2.0,public,US,North America,OO
Air Canada,2023'Q4,35.0,public,CA,North America,AC
IAG,2023'Q4,32.0,public,EU,Europe,
Air France-KLM,2023'Q4,18.0,public,EU,Europe,AF/KL
Ryanair,2023'Q4,24.0,public,EU,Europe,FR
easyJet,2023'Q4,57.0,public,EU,Europe,U2
Finnair,2023'Q4,28.0,public,EU,Europe,AY
Singapore Airlines,2023'Q4,5.0,public,SG,Asia Pacific,SQ
Qantas Airways,2023'Q4,100.0,public,AU,Asia Pacific,QF
Cathay Pacific,2023'Q4,85.0,public,HK,Asia Pacific,CX
LATAM Airlines,2023'Q4,-2.0,public,CL,Latin America,LA
Air China,2023'Q4,100.0,public,CN,China,CA
China Eastern,2023'Q4,100.0,public,CN,China,MU
China Southern,2023'Q4,74.0,public,CN,China,CZ
Hainan Airlines,2023'Q4,100.0,public,CN,China,HU
Qatar Airways,2023'Q4,10.0,private,QA,Middle East,QR
Aeroflot,2023'Q4,13.0,"taken private 2023, war",RU,Russia,SU
